term,pos,comment,translation_ko,comment_ko
i.e.,,,즉,
icon,Noun,,아이콘,
identical,Adjective,,동일한,
identifier,Noun,,식별자,
identify,,,식별하다,
illegal,,,잘못된,
image,,,영상,
imagery,Noun,,형상,
implement,Verb,,구현하다,
import,,,가져오다,
import,Noun,,가져오기,
in,Preposition,,"(공간적으로) 안에 (e.g., 지도 안에), (개념적으로) 내에 (e.g., 로케이션 내에), (반복된 in) 안에... 내에...",TODO: https://github.com/HuidaeCho/grass-ko/issues/10
in the background,Adverb,,배경 프로세스로,
incorrect,Adjective,,잘못된 (띄어쓰기 유의),
index,Noun,,"(SQL, 참조 수단) 색인, (계량적 수치) 지표",
initialize,Verb,,초기화하다,
input,,,입력,
insert,Verb,,삽입하다,
install,,,설치하다,
instantaneous net radiation,Noun,,순간 순복사,
instruction,Noun,,지시,
integer,Noun,,정수,
integration,Noun,,통합,
interactive,Adjective,,대화식의,
interface,Noun,,인터페이스,
intermediate,,,"중간의, 중간",
interpolation,,,보간,
intersect,,,교차하다,
invalid,Adjective,,무효한,
irradiance,Noun,,복사 조도,
irradiation,Noun,,조사,
is empty,,,비어 있다,
isle,Noun,,섬,
item,,,항목,
kappa parameter,Noun,,kappa 매개변수,
keep,Verb,,유지하다,
kernel,Noun,,커널,
kernel function,Noun,,커널 함수,
key column,,,키 열,
keyword,Noun,,키워드,
kind,Noun,,종류,
label,Noun,,꼬리표,
label,Verb,,꼬리표를 달다,
land cover,Noun,,토지 피복,
last,Verb,,마지막,
lat,Noun,,위도,
latitude,Noun,,위도,
latitude-longitude,Noun,,위경도,
latlong,Noun,,위경도,
launch,Verb,,시작하다,
layer,Noun,,레이어,
left-hand side,Noun,,좌변,
legend,,,범례,
level,Noun,,단계,
library,Noun,,라이브러리,
licence,Noun,,사용권,
limit,Noun,,한도,
line,Noun,,"(피쳐) 선, (파일) 줄",
line of sight analysis,Noun,,시정선 분석,
linear equation system,Noun,,연립선형방정식,
link,Noun,,연결,
list,Noun,,목록,
list,Verb,,나열하다,
load,Verb,,적재하다,
local,,,국지적인,
location,Noun,,"장소, (자료구조) 로케이션",
lock file,Noun,,잠금 파일,
log,Noun,,일지,
long,Noun,,경도,
longitude,Noun,,경도,
maintenance,Noun,,유지 관리,
make,Verb,,만들다,
man page,Noun,,설명서,
manager,Noun,,관리자,
manual,Adjective,,수작업의,
manual,Noun,,설명서,
manually,Adverb,,수작업으로,
map,Noun,,지도,
map layer,Noun,,지도 레이어,
mapset,Noun,,지도세트,
marker,Noun,,마커,
mask,Noun,,마스크,외래어 표기법에 따라 '매스크'가 아니고 '마스크'
matrix,,,행렬,
measure,Noun,,척도,
measure,Verb,,측정하다,
memory,Noun,,메모리,
merge,Verb,,병합하다,
message,Noun,,메시지,
metric,Noun,,지표,
might,Verb,,-할 지도 모른다.,
missing,Adjective,,"누락된, 없다",
mixed,Adjective,,혼합된,
mode,,,"모드, (통계) 최빈값",
model,,,모형,
modeler,Noun,,모델러,
modify,,,수정하다,
monitor,,,모니터,
move,,,이동하다,
moving window,Noun,,이동 창,
multi-feature,Noun,,다중 피처,
name,,,이름,
native,Adjective,,고유,
nearest,Adjective,,최근접,
network,,,네트워크,
new,,,새,
node,Noun,,교점,
normally,Adverb,,일반적으로,
north arrow,,,방위표,
northing,Noun,,북거,
not found,Verb,,찾을 수 없다,
note,Noun,,주,
null,,,널,
null value,Noun,,널값,
object,,,객체,
obtain,Verb,,얻다,
offset,Noun,,오프셋,
old,,,기존,
operating system,Noun,,운영 체계,
operation,Noun,,조작,
operator,Noun,,조작자,
option,Noun,,옵션,
optional,Adjective,,선택적인,
optionally,Adverb,,선택적으로,
original,Adjective,,원래의,
outlier,,,이상치,
output,,,출력,
overlap,,,중첩하다,
overlapping,,,중첩,
overlay,Verb,,중첩하다,
override,,,무시하다,
overwrite,,,덮어쓰다,
overwrite (to),,,(으로) 덮어쓰다,
pack,Verb,,꾸리다,
packager,Noun,,패키저,
parameter,Noun,,매개변수,
parse,,,해석하다,
partial derivatives,,,편미분,
partition,,,파티션,
patch,Verb,,덧대다,
path,Noun,,경로,
pattern,Noun,,패턴,
pay attention,,,주의하다,
percentage,,,백분율,
permanently,,,영구히,
permission,,,허가,
pick up,Verb,,찾아내다,
pixel,,,화소,
pixmap,Noun,,픽스맵,
plane,Noun,,평면,
plot,Noun,,도표,
plug-in,,,플러그인,
point,Noun,,점,
point cloud,Noun,,점 구름,
point of interest,Noun,,관심 지점,
polygon,Noun,,다각형,
polyline,Noun,,다각선,
pop-up window,Noun,,팝업 창,
portable,Verb,,이식 가능한,
position,,,위치,
post-process,,,후처리하다,
precision,Noun,,정밀도,
prefix,,,접두사,
primitive,Adjective,,원형,
privilege,,,권한,
procedure,Noun,,프러시저,외래어 표기법에 따라 '프로시저'가 아닌 '프러시저'
process,Noun,,"과정, (CPU) 프로세스",
process,Verb,,처리하다,
product,Noun,,(수학) 곱셈,
profile,Noun,,단면,
programmer,Noun,,프로그래머,
progress,,,경과,
project,,,"투영하다, 프로젝트",
projection,Noun,,투영,
prolog,Noun,,머리말,
protocol,Noun,,프로토콜,
prune,Verb,,잘라내다,
quantile,Noun,,분위수,
quantize,Verb,,양자화하다,
query,,,질의,
quit,,,종료하다,
radiance,Noun,,복사,
radius,Noun,,반경,
range,Noun,,범위,
raster,Noun,,래스터,
raster map,Noun,,래스터 지도,
raw,Adjective,,순수한,
read,,,읽다,
reason,Noun,,이유,
rebuild,,,복구하다,
reclass,Noun,,재분류,
reclassify,Verb,,재분류하다,
recognize,Verb,,인식하다,
record,Noun,,레코드,
rectification,,,기하보정,
rectify,,,기하보정하다,
reduce,Verb,,줄이다,
reference,Noun,,참고,
region,Noun,,영역,
register,,,등록하다,
regular expression,Noun,,정규표현식,
remove,,,제거하다,
rename,,,이름을 바꾸다,
render,,,표시하다,
report,,,보고하다,
repository,,,저장소,
represent,Verb,,표현하다,
require,,,필요로 하다,
resample (to),,,재추출하다,
resampling,,,재추출,
return,Noun,,반환,
rewind,Verb,,되감다,
rewrite,,,다시 쓰다,
